朝楼,犬柳磊荐,瘤开,厚啦,窜拌
2020-10-13,0.0,面巢,0.0,0.3333333333333333
2020-10-14,0.0,面巢,0.0,0.3333333333333333
2020-10-15,2.0,面巢,9.138057312981662e-07,0.3333333333333333
2020-10-16,2.0,面巢,9.138057312981662e-07,0.3333333333333333
2020-10-17,0.0,面巢,0.0,0.3333333333333333
2020-10-18,0.0,面巢,0.0,0.3333333333333333
2020-10-19,0.0,面巢,0.0,0.3333333333333333
2020-10-20,1.0,面巢,4.569028656490831e-07,0.3333333333333333
2020-10-21,2.0,面巢,9.138057312981662e-07,0.3333333333333333
2020-10-22,0.0,面巢,0.0,0.3333333333333333
2020-10-23,0.0,面巢,0.0,0.3333333333333333
2020-10-24,1.0,面巢,4.569028656490831e-07,0.3333333333333333
2020-10-25,0.0,面巢,0.0,0.3333333333333333
2020-10-26,0.0,面巢,0.0,0.3333333333333333
2020-10-27,2.0,面巢,9.138057312981662e-07,0.3333333333333333
2020-10-28,0.0,面巢,0.0,0.3333333333333333
2020-10-29,3.0,面巢,1.3707085969472491e-06,0.3333333333333333
2020-10-30,0.0,面巢,0.0,0.3333333333333333
2020-10-31,3.0,面巢,1.3707085969472491e-06,0.3333333333333333
2020-11-01,1.0,面巢,4.569028656490831e-07,0.3333333333333333
2020-11-02,2.0,面巢,9.138057312981662e-07,0.3333333333333333
2020-11-03,4.0,面巢,1.8276114625963323e-06,0.3333333333333333
2020-11-04,7.0,面巢,3.1983200595435812e-06,0.3333333333333333
2020-11-05,2.0,面巢,9.138057312981662e-07,0.3333333333333333
2020-11-06,2.0,面巢,9.138057312981662e-07,0.3333333333333333
2020-11-07,4.0,面巢,1.8276114625963323e-06,0.3333333333333333
2020-11-08,2.0,面巢,9.138057312981662e-07,0.3333333333333333
2020-11-09,1.0,面巢,4.569028656490831e-07,0.3333333333333333
2020-11-10,4.0,面巢,1.8276114625963323e-06,0.3333333333333333
2020-11-11,1.0,面巢,4.569028656490831e-07,0.3333333333333333
2020-11-12,8.0,面巢,3.6552229251926646e-06,0.3333333333333333
2020-11-13,2.0,面巢,9.138057312981662e-07,0.3333333333333333
2020-11-14,4.0,面巢,1.8276114625963323e-06,0.3333333333333333
2020-11-15,4.0,面巢,1.8276114625963323e-06,0.3333333333333333
2020-11-16,5.0,面巢,2.2845143282454153e-06,0.3333333333333333
2020-11-17,1.0,面巢,4.569028656490831e-07,0.3333333333333333
2020-11-18,11.0,面巢,5.025931522139914e-06,0.3333333333333333
2020-11-19,10.0,面巢,4.569028656490831e-06,0.3333333333333333
2020-11-20,3.0,面巢,1.3707085969472491e-06,0.3333333333333333
2020-11-21,3.0,面巢,1.3707085969472491e-06,0.3333333333333333
2020-11-22,7.0,面巢,3.1983200595435812e-06,0.3333333333333333
2020-11-23,15.0,面巢,6.853542984736246e-06,0.3333333333333333
2020-11-24,5.0,面巢,2.2845143282454153e-06,0.3333333333333333
2020-11-25,1.0,面巢,4.569028656490831e-07,0.3333333333333333
