data,Ω≈∞Ì¿œ
2021-05-17,193.0
2021-05-18,264.0
2021-05-19,192.0
2021-05-20,174.0
2021-05-21,207.0
2021-05-22,160.0
2021-05-23,136.0
2021-05-24,186.0
2021-05-25,228.0
2021-05-26,220.0
2021-05-27,184.0
2021-05-28,178.0
2021-05-29,144.0
2021-05-30,126.0
2021-05-31,190.0
2021-06-01,236.0
2021-06-02,191.0
2021-06-03,207.0
2021-06-04,257.0
2021-06-05,177.0
2021-06-06,120.0
2021-06-07,161.0
2021-06-08,177.0
2021-06-09,205.0
2021-06-10,196.0
2021-06-11,184.0
2021-06-12,141.0
2021-06-13,122.0
2021-06-14,83.0
